Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Distance from Home,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Company Reputation,Employee Recognition,Attrition,Innovation Opportunities_No,Innovation Opportunities_Yes,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Job Role_Education,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Leadership Opportunities_No,Leadership Opportunities_Yes,Remote Work_No,Remote Work_Yes,Overtime_No,Overtime_Yes
31,0,19,5390,3,1,2,2,22,1,0,1,1,89,3,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
59,1,4,5534,0,2,0,3,21,3,3,1,1,21,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
24,1,10,8159,2,2,0,0,11,2,3,1,1,74,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
36,1,7,3989,2,2,3,1,27,0,2,1,0,50,2,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
56,0,41,4821,1,3,2,0,71,0,0,2,1,68,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
38,1,3,9977,1,2,1,3,37,2,0,1,1,47,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0
47,0,23,3681,1,2,3,1,75,0,3,0,0,93,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
48,0,16,11223,3,3,3,2,5,3,4,0,1,88,3,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
57,0,44,3773,2,1,3,1,39,0,4,0,1,75,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
24,1,1,7319,0,2,2,1,57,4,4,0,2,45,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
30,1,12,5443,2,2,2,1,51,0,1,0,0,17,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
29,1,6,8950,0,1,0,2,26,3,0,1,1,38,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
47,1,38,9039,1,3,3,1,78,1,0,0,0,68,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
31,0,22,8090,1,1,3,4,30,1,2,1,0,84,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
40,1,30,6350,2,2,2,0,98,0,0,2,2,96,2,2,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
40,1,4,5176,0,2,2,0,48,0,0,0,0,21,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
19,1,9,8242,3,1,2,2,17,0,3,1,0,63,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
33,1,1,8733,2,2,1,1,86,0,0,1,0,19,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
49,1,37,6252,1,2,3,2,60,2,4,2,1,70,2,2,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
29,0,9,7538,1,1,2,0,10,2,0,2,0,76,2,2,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
51,1,41,8733,2,2,2,2,18,3,3,1,0,72,2,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
57,1,33,8201,2,3,2,0,95,4,1,1,1,95,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
